ISCO;Title;green
2529;Database and network professionals not elsewhere classified;0.35
3134;Petroleum and natural gas refining plant operators;0.35
315;Ship and aircraft controllers and technicians;0.34
1221;Sales and marketing managers;0.34
1343;Aged care services managers;0.34
2310;University and higher education teachers;0.34
2359;Teaching professionals not elsewhere classified;0.34
2511;Systems analysts;0.34
2632;Sociologists, anthropologists and related professionals;0.34
2651;Visual artists;0.34
3332;Conference and event planners;0.34
3434;Chefs;0.34
6340;Subsistence fishers, hunters, trappers and gatherers;0.34
9311;Mining and quarrying labourers;0.34
9622;Odd job persons;0.34
2267;Optometrists and ophthalmic opticians;0.33
3315;Valuers and loss assessors;0.33
7512;Bakers, pastry-cooks and confectionery makers;0.33
8113;Well drillers and borers and related workers;0.33
1211;Finance managers;0.32
2522;Systems administrators;0.32
3153;Aircraft pilots and related associate professionals;0.32
3311;Securities and finance dealers and brokers;0.32
3322;Commercial sales representatives;0.32
3324;Trade brokers;0.32
3514;Web technicians;0.32
1345;Education managers;0.31
2351;Education methods specialists;0.31
2636;Religious professionals;0.31
3152;Ships' deck officers and pilots;0.31
4323;Transport clerks;0.31
4419;Clerical support workers not elsewhere classified;0.31
7314;Potters and related workers;0.31
8131;Chemical products plant and machine operators;0.31
8154;Bleaching, dyeing and fabric cleaning machine operators;0.31
9129;Other cleaning workers;0.31
2320;Vocational education teachers;0.30
7313;Jewellery and precious-metal workers;0.30
7513;Dairy-products makers;0.30
8211;Mechanical machinery assemblers;0.30
9216;Fishery and aquaculture labourers;0.30
2413;Financial analysts;0.29
8350;Ships' deck crews and related workers;0.29
1412;Restaurant managers;0.28
2411;Accountants;0.28
3142;Agricultural technicians;0.28
3211;Medical imaging and therapeutic equipment technicians;0.28
8156;Shoemaking and related machine operators;0.28
2264;Physiotherapists ;0.27
2611;Lawyers;0.27
6320;Subsistence livestock farmers;0.27
8111;Miners and quarriers;0.27
8181;Glass and ceramics plant operators;0.27
1212;Human resource managers;0.26
2212;Specialist medical practitioners ;0.26
3422;Sports coaches, instructors and officials;0.26
5141;Hairdressers;0.26
5222;Shop supervisors;0.26
7212;Welders and flamecutters;0.26
7315;Glass makers, cutters, grinders and finishers;0.26
7322;Printers ;0.26
7534;Upholsterers and related workers;0.26
8112;Mineral and stone processing plant operators;0.26
8122;Metal finishing, plating and coating machine operators;0.26
9214;Garden and horticultural labourers;0.26
2431;Advertising and marketing professionals;0.25
2521;Database designers and administrators;0.25
2621;Archivists and curators;0.25
3351;Customs and border inspectors;0.25
3352;Government tax and excise officials;0.25
3423;Fitness and recreation instructors and program leaders;0.25
4224;Hotel receptionists;0.25
7531;Tailors, dressmakers, furriers and hatters;0.25
8142;Plastic products machine operators;0.25
9212;Livestock farm labourers;0.25
1341;Child care services managers;0.24
2641;Authors and related writers;0.24
3354;Government licensing officials;0.24
4221;Travel consultants and clerks;0.24
5211;Stall and market salespersons;0.24
5243;Door to door salespersons;0.24
9520;Street vendors (excluding food);0.24
2250;Veterinarians;0.23
2265;Dieticians and nutritionists;0.23
2514;Applications programmers;0.23
2612;Judges;0.23
2619;Legal professionals not elsewhere classified;0.23
2642;Journalists;0.23
3154;Air traffic controllers;0.23
3254;Dispensing opticians;0.23
3355;Police inspectors and detectives;0.23
4110;General office clerks;0.23
5132;Bartenders;0.23
6330;Subsistence mixed crop and livestock farmers;0.23
7223;Metal working machine tool setters and operators;0.23
9213;Mixed crop and livestock farm labourers;0.23
1344;Social welfare managers;0.22
3133;Chemical processing plant controllers;0.22
5412;Police officers;0.22
7224;Metal polishers, wheel grinders and tool sharpeners;0.22
9612;Refuse sorters;0.22
2211;Generalist medical practitioners ;0.21
2221;Nursing professionals;0.21
2263;Environmental and occupational health and hygiene professionals;0.21
2423;Personnel and careers professionals;0.21
2654;Film, stage and related directors and producers;0.21
3222;Midwifery associate professionals;0.21
3230;Traditional and complementary medicine associate professionals;0.21
3353;Government social benefits officials;0.21
5153;Building caretakers;0.21
5245;Service station attendants;0.21
7323;Print finishing and binding workers;0.21
7521;Wood treaters;0.21
8143;Paper products machine operators;0.21
8344;Lifting truck operators;0.21
9122;Vehicle cleaners;0.21
9211;Crop farm labourers;0.21
9321;Hand packers;0.21
3321;Insurance representatives;0.20
4415;Filing and copying clerks;0.20
5223;Shop sales assistants;0.20
2330;Secondary education teachers;0.19
3255;Physiotherapy technicians and assistants;0.19
3435;Other artistic and cultural associate professionals;0.19
8141;Rubber products machine operators;0.19
8157;Laundry machine operators;0.19
8183;Packing, bottling and labelling machine operators;0.19
9112;Cleaners and helpers in offices, hotels and other establishments;0.19
9329;Manufacturing labourers not elsewhere classified;0.19
1342;Health services managers;0.18
2266;Audiologists and speech therapists;0.18
3431;Photographers;0.18
5249;Sales workers not elsewhere classified;0.18
6310;Subsistence crop farmers;0.18
7318;Handicraft workers in textile, leather and related materials;0.18
7536;Shoemakers and related workers;0.18
8219;Assemblers not elsewhere classified;0.18
2269;Health professionals not elsewhere classified;0.17
2341;Primary school teachers;0.17
2656;Announcers on radio, television and other media;0.17
4312;Statistical, finance and insurance clerks;0.17
5113;Travel guides;0.17
7523;Woodworking-machine tool setters and operators;0.17
8160;Food and related products machine operators;0.17
8171;Pulp and papermaking plant operators;0.17
8212;Electrical and electronic equipment assemblers;0.17
9121;Hand launderers and pressers;0.17
9411;Fast food preparers;0.17
2352;Special needs teachers;0.16
2643;Translators, interpreters and other linguists;0.16
3411;Legal and related associate professionals;0.16
4214;Debt-collectors and related workers;0.16
4313;Payroll clerks;0.16
5246;Food service counter attendants;0.16
8121;Metal processing plant operators;0.16
2240;Paramedical practitioners;0.15
2353;Other language teachers;0.15
2634;Psychologists;0.15
3313;Accounting associate professionals;0.15
3333;Employment agents and contractors;0.15
4311;Accounting and bookkeeping clerks;0.15
5414;Security guards;0.15
8189;Stationary plant and machine operators not elsewhere classified;0.15
9111;Domestic cleaners and helpers;0.15
9412;Kitchen helpers;0.15
1222;Advertising and public relations managers;0.14
2354;Other music teachers;0.14
2355;Other arts teachers;0.14
3135;Metal production process controllers;0.14
3511;Information and communications technology operations technicians;0.14
3521;Broadcasting and audio-visual technicians;0.14
4222;Contact centre information clerks;0.14
5311;Child care workers;0.14
7211;Metal moulders and coremakers;0.14
7535;Pelt dressers, tanners and fellmongers;0.14
8132;Photographic products machine operators;0.14
3259;Health associate professionals not elsewhere classified;0.13
3212;Medical and pathology laboratory technicians ;0.12
4132;Data entry clerks;0.12
4223;Telephone switchboard operators;0.12
5230;Cashiers and ticket clerks;0.12
7132;Spray painters and varnishers;0.12
8172;Wood processing plant operators;0.12
3343;Administrative and executive secretaries;0.11
4211;Bank tellers and related clerks;0.11
4212;Bookmakers, croupiers and related gaming workers;0.11
4413;Coding, proof-reading and related clerks;0.11
2652;Musicians, singers and composers;0.10
4120;Secretaries (general);0.10
4225;Enquiry clerks;0.10
4226;Receptionists (general);0.10
5244;Contact centre salespersons;0.10
5322;Home-based personal care workers;0.10
7514;Fruit, vegetable and related preservers;0.10
8151;Fibre preparing, spinning and winding machine operators;0.10
9624;Water and firewood collectors;0.10
2166;Graphic and multimedia designers;0.09
2342;Early childhood educators;0.09
4411;Library clerks;0.09
5241;Fashion and other models;0.09
2635;Social work and counselling professionals;0.08
2653;Dancers and choreographers;0.08
3240;Veterinary technicians and assistants;0.08
2262;Pharmacists;0.07
3256;Medical assistants;0.07
4321;Stock clerks;0.07
5413;Prison guards;0.07
7321;Pre-press technicians;0.07
8152;Weaving and knitting machine operators;0.07
9621;Messengers, package deliverers and luggage porters;0.07
2655;Actors;0.06
3342;Legal secretaries;0.06
5164;Pet groomers and animal care workers;0.06
3412;Social work associate professionals;0.05
4131;Typists and word processing operators;0.05
9331;Hand and pedal vehicle drivers;0.05
3213;Pharmaceutical technicians and assistants;0.04
5329;Personal care workers in health services not elsewhere classified;0.04
7316;Sign writers, decorative painters, engravers and etchers;0.04
3221;Nursing associate professionals;0.03
3251;Dental assistants and therapists;0.02
3344;Medical secretaries;0.00
